# AlphaDocs Path Change History
# Fields: date | old_path | new_path | reason
# 2025-08-16: renamed numeric alpha idea files to descriptive theory titles
2025-08-08 | alphadocs/Kyle-Obizhaeva_non-linear_variation.md | docs/alphadocs/Kyle-Obizhaeva_non-linear_variation.md | relocate alphadocs under docs
2025-08-16 | docs/alphadocs/ideas/alpha_3752.md | docs/alphadocs/ideas/liquidity-snap-transition-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_3808.md | docs/alphadocs/ideas/inter-reactive-quoting-strategy-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_3862.md | docs/alphadocs/ideas/market-response-threshold-drift-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_3976.md | docs/alphadocs/ideas/complex-liquidity-wave-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4034.md | docs/alphadocs/ideas/nonlinear-price-sensitive-order-flow-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4089.md | docs/alphadocs/ideas/friction-induced-reflexivity-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4144.md | docs/alphadocs/ideas/order-induced-expectation-transition-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4201.md | docs/alphadocs/ideas/execution-flow-damping-amplification-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4257.md | docs/alphadocs/ideas/dynamic-liquidity-based-execution-skew-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4312.md | docs/alphadocs/ideas/policy-sensitivity-wave-transmission-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4369.md | docs/alphadocs/ideas/time-structured-liquidity-rhythm-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4426.md | docs/alphadocs/ideas/quantified-expectation-collision-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4482.md | docs/alphadocs/ideas/price-information-reflexive-distortion-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4538.md | docs/alphadocs/ideas/execution-avoidance-threshold-transition-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4595.md | docs/alphadocs/ideas/order-withdrawal-critical-branching-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4650.md | docs/alphadocs/ideas/market-sentiment-reconfiguration-trigger-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4703.md | docs/alphadocs/ideas/execution-discontinuity-threshold-lag-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4760.md | docs/alphadocs/ideas/execution-sentiment-diffusion-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4815.md | docs/alphadocs/ideas/liquidity-critical-mass-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4871.md | docs/alphadocs/ideas/priority-execution-distortion-transition-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4927.md | docs/alphadocs/ideas/spatiotemporal-execution-clustering-transition-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_4982.md | docs/alphadocs/ideas/tick-level-execution-collision-diffusion-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5036.md | docs/alphadocs/ideas/quote-repositioning-wave-propagation-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5091.md | docs/alphadocs/ideas/dynamic-execution-velocity-resonance-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5148.md | docs/alphadocs/ideas/delayed-information-absorption-transition-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5204.md | docs/alphadocs/ideas/risk-aversion-liquidity-collapse-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5257.md | docs/alphadocs/ideas/execution-diffusion-threshold-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5313.md | docs/alphadocs/ideas/dominant-range-discontinuity-reaction-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5367.md | docs/alphadocs/ideas/tick-pressure-based-equilibrium-transition-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5433.md | docs/alphadocs/ideas/residual-execution-flow-distortion-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5488.md | docs/alphadocs/ideas/impact-persistence-branching-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5545.md | docs/alphadocs/ideas/autocorrelated-execution-clustering-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5601.md | docs/alphadocs/ideas/microgap-liquidity-rupture-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5658.md | docs/alphadocs/ideas/tactical-resting-order-threshold-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5714.md | docs/alphadocs/ideas/response-saturation-boundary-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5770.md | docs/alphadocs/ideas/adaptive-liquidity-threshold-crossover-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5825.md | docs/alphadocs/ideas/asymmetric-shock-accumulation-transmission-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5884.md | docs/alphadocs/ideas/layered-information-execution-transition-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5942.md | docs/alphadocs/ideas/impact-weighted-liquidity-collapse-probability-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_5991.md | docs/alphadocs/ideas/order-book-elasticity-dynamics-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6047.md | docs/alphadocs/ideas/transitional-adaptive-micro-response-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6099.md | docs/alphadocs/ideas/progressive-trust-decay-liquidity-response-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6150.md | docs/alphadocs/ideas/policy-execution-asynchronous-diffusion-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6200.md | docs/alphadocs/ideas/reflexive-execution-information-distortion-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6265.md | docs/alphadocs/ideas/asynchronous-quote-update-threshold-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6322.md | docs/alphadocs/ideas/execution-predictive-divergence-nonlinearity-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6378.md | docs/alphadocs/ideas/discontinuous-fill-point-propagation-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6429.md | docs/alphadocs/ideas/initial-price-expectation-driven-execution-synchronization-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6487.md | docs/alphadocs/ideas/temporal-sensitivity-lagged-execution-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6537.md | docs/alphadocs/ideas/intra-informational-structural-execution-diffusion-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6585.md | docs/alphadocs/ideas/tactical-liquidity-bifurcation-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6635.md | docs/alphadocs/ideas/position-based-residual-tension-in-spread-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6695.md | docs/alphadocs/ideas/quote-flow-echo-distortion-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6751.md | docs/alphadocs/ideas/psychological-threshold-induced-quote-acceleration-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6803.md | docs/alphadocs/ideas/heterogeneous-execution-clustering-transition-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6854.md | docs/alphadocs/ideas/bidirectional-sensitivity-threshold-theory-of-price-and-execution.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6908.md | docs/alphadocs/ideas/execution-sensitivity-with-delayed-feedback-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_6960.md | docs/alphadocs/ideas/latent-execution-pressure-leakage-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_7012.md | docs/alphadocs/ideas/linear-threshold-avoidance-induced-tick-jump-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_7064.md | docs/alphadocs/ideas/excess-execution-adaptive-boundary-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_7116.md | docs/alphadocs/ideas/latent-liquidity-queuing-collapse-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_7166.md | docs/alphadocs/ideas/nonstationary-execution-equilibrium-collapse-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_7215.md | docs/alphadocs/ideas/tactical-liquidity-lag-threshold-theory.md | rename to descriptive title
2025-08-16 | docs/alphadocs/ideas/alpha_7267.md | docs/alphadocs/ideas/information-hierarchy-induced-liquidity-segmentation-theory.md | rename to descriptive title
